"","Year","Source","count"
"1",2011,"Other",27379
"2",2011,"Wild",20286
"3",2012,"Other",29587
"4",2012,"Wild",21177
"5",2013,"Other",31179
"6",2013,"Wild",19892
"7",2014,"Other",30144
"8",2014,"Wild",19166
"9",2015,"Wild",18798
"10",2015,"Other",30969
"11",2016,"Other",29708
"12",2016,"Wild",18111
"13",2017,"Other",27896
"14",2017,"Wild",17205
"15",2018,"Other",29237
"16",2018,"Wild",17272
"17",2019,"Other",31685
"18",2019,"Wild",17593
"19",2020,"Wild",10906
"20",2020,"Other",20314
"21",2021,"Other",21671
"22",2021,"Wild",11004
